State,Race,Sum of Deaths per 10000 by Race,Output
RI,American Indian and Alaskan Native,718.5,0
RI,Asian and Pacific Islander,3597.3,0
RI,Black,1717.8,0
RI,Hispanic,977.4,0
RI,White,1898.6,0
SC,American Indian and Alaskan Native,3223.2,0
SC,Asian and Pacific Islander,14848.2,1
SC,Black,20210.7,1
SC,Hispanic,7064.9,0
SC,White,17465.9,1
SD,American Indian and Alaskan Native,17845.3,1
SD,Hispanic,190.6,0
SD,White,19721.6,1
TN,American Indian and Alaskan Native,1034.1,0
TN,Asian and Pacific Islander,27002.4,1
TN,Black,40371.5,1
TN,Hispanic,5590.8,0
TN,White,41659,1
TX,American Indian and Alaskan Native,4060.7,0
TX,Asian and Pacific Islander,53872.2,1
TX,Black,81798.5,1
TX,Hispanic,65929.5,1
TX,White,97877.9,1
US,American Indian and Alaskan Native,298.2,0
US,Asian and Pacific Islander,533.7,0
US,Black,415.9,0
US,Hispanic,233.6,0
US,White,334,0
UT,American Indian and Alaskan Native,5507.4,0
UT,Asian and Pacific Islander,9441.3,0
UT,Black,2747.6,0
UT,Hispanic,4126.2,0
UT,White,9153,0
VA,American Indian and Alaskan Native,456.5,0
VA,Asian and Pacific Islander,19877.7,1
VA,Black,47119,1
VA,Hispanic,8198.1,0
VA,White,45497,1
VT,Black,2172.9,0
VT,Hispanic,105,0
VT,White,4535.9,0
WA,American Indian and Alaskan Native,12714.7,1
WA,Asian and Pacific Islander,14298.6,1
WA,Black,8185.8,0
WA,Hispanic,5839.5,0
WA,White,11599.8,1
WI,American Indian and Alaskan Native,17418.8,1
WI,Asian and Pacific Islander,19208.1,1
WI,Black,11573.4,1
WI,Hispanic,4861.9,0
WI,White,22779.5,1
WV,Asian and Pacific Islander,303,0
WV,Black,14957.6,1
WV,Hispanic,434.6,0
WV,White,21903.5,1
WY,American Indian and Alaskan Native,7581.9,0
WY,Asian and Pacific Islander,333.3,0
WY,Black,732.4,0
WY,Hispanic,5379.2,0
WY,White,7489.6,0
