Outcome (or Indicator),Group,Percentage,Confidence Interval,Title,Description,Year
Any type of cancer,Total,9.5,"9.1,  9.9","Percentage of any type of cancer for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind.,2019
Any type of cancer,Male,8.7,"8.1,  9.2","Percentage of any type of cancer for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind.,2019
Any type of cancer,Female,10.3,"9.7, 10.8","Percentage of any type of cancer for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind.,2019
Any type of cancer,18-34 years,1.3,"1.0,  1.7","Percentage of any type of cancer for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind.,2019
Any type of cancer,35-49 years,4.2,"3.7,  4.8","Percentage of any type of cancer for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind.,2019
Any type of cancer,50-64 years,11,"10.2, 11.8","Percentage of any type of cancer for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind.,2019
Any type of cancer,65 years and over,25.4,"24.3, 26.4","Percentage of any type of cancer for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind.,2019
Any type of cancer,18-44 years,2,"1.8,  2.4","Percentage of any type of cancer for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind.,2019
Any type of cancer,45-64 years,9.7,"9.1, 10.4","Percentage of any type of cancer for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind.,2019
Any type of cancer,65-74 years,21.7,"20.4, 23.0","Percentage of any type of cancer for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind.,2019
Any type of cancer,75 years and over,30.7,"29.0, 32.4","Percentage of any type of cancer for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind.,2019
Any type of cancer,"White, single race",11.4,"10.9, 11.8","Percentage of any type of cancer for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind.,2019
Any type of cancer,"Black or African American, single race",5.1,"4.4,  6.0","Percentage of any type of cancer for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind.,2019
Any type of cancer,"American Indian or Alaska Native, single race",8.8,"5.1, 14.1","Percentage of any type of cancer for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind.,2019
Any type of cancer,"Asian, single race",2.5,"1.8,  3.4","Percentage of any type of cancer for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind.,2019
Any type of cancer,"Native Hawaiian or Other Pacific Islander, single race",999,,"Percentage of any type of cancer for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind.,2019
Any type of cancer,Black or African American and White,999,,"Percentage of any type of cancer for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind.,2019
Any type of cancer,American Indian or Alaska Native and White,15.6,"10.6, 21.7","Percentage of any type of cancer for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind.,2019
Any type of cancer,Hispanic or Latino,4.1,"3.3,  5.0","Percentage of any type of cancer for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind.,2019
Any type of cancer,Mexican or Mexican American,3.5,"2.7,  4.5","Percentage of any type of cancer for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind.,2019
Any type of cancer,Not Hispanic or Latino,10.6,"10.1, 11.0","Percentage of any type of cancer for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind.,2019
Any type of cancer,"Not Hispanic or Latino, White, single race",12.4,"11.9, 12.9","Percentage of any type of cancer for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind.,2019
Any type of cancer,"Not Hispanic or Latino, Black or African American, single race",5,"4.3,  5.9","Percentage of any type of cancer for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind.,2019
Any type of cancer,"Other, non-Hispanic",4.2,"3.4,  5.1","Percentage of any type of cancer for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind.,2019
Any type of cancer,Less than high school diploma,10.1,"8.7, 11.6","Percentage of any type of cancer for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind.,2019
Any type of cancer,High school diploma or GED,10.2,"9.4, 11.0","Percentage of any type of cancer for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind.,2019
Any type of cancer,Some college,11.2,"10.4, 12.0","Percentage of any type of cancer for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind.,2019
Any type of cancer,College degree or higher,10.8,"10.2, 11.5","Percentage of any type of cancer for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind.,2019
Any type of cancer,Married,10.9,"10.4, 11.5","Percentage of any type of cancer for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind.,2019
Any type of cancer,Widowed,23.9,"22.0, 25.8","Percentage of any type of cancer for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind.,2019
Any type of cancer,Divorced or separated,12.2,"11.1, 13.3","Percentage of any type of cancer for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind.,2019
Any type of cancer,Never married,2.8,"2.3,  3.3","Percentage of any type of cancer for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind.,2019
Any type of cancer,Living with a partner,5.8,"4.7,  7.0","Percentage of any type of cancer for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind.,2019
Any type of cancer,Large central metro,7.3,"6.7,  7.9","Percentage of any type of cancer for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind.,2019
Any type of cancer,Large fringe metro,10,"9.2, 10.8","Percentage of any type of cancer for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind.,2019
Any type of cancer,Medium and small metro,10.1,"9.4, 10.9","Percentage of any type of cancer for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind.,2019
Any type of cancer,Nonmetropolitan,12,"10.9, 13.1","Percentage of any type of cancer for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind.,2019
Any type of cancer,Northeast,9.8,"8.8, 10.9","Percentage of any type of cancer for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind.,2019
Any type of cancer,Midwest,10,"9.2, 10.8","Percentage of any type of cancer for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind.,2019
Any type of cancer,South,9.7,"9.2, 10.3","Percentage of any type of cancer for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind.,2019
Any type of cancer,West,8.4,"7.6,  9.2","Percentage of any type of cancer for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind.,2019
Any type of cancer,Large MSA,8.5,"8.0,  9.0","Percentage of any type of cancer for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind.,2019
Any type of cancer,Small MSA,10.2,"9.4, 10.9","Percentage of any type of cancer for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind.,2019
Any type of cancer,Not in MSA,12,"10.9, 13.1","Percentage of any type of cancer for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind.,2019
Any type of cancer,Private,5.1,"4.7,  5.5","Percentage of any type of cancer for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind.,2019
Any type of cancer,Medicaid or other public,6,"4.9,  7.2","Percentage of any type of cancer for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind.,2019
Any type of cancer,Other coverage,7.7,"5.7, 10.0","Percentage of any type of cancer for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind.,2019
Any type of cancer,Uninsured,2.9,"2.3,  3.7","Percentage of any type of cancer for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind.,2019
Any type of cancer,Private,28,"26.4, 29.7","Percentage of any type of cancer for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind.,2019
Any type of cancer,Medicare and Medicaid,17.5,"14.0, 21.4","Percentage of any type of cancer for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind.,2019
Any type of cancer,Medicare Advantage,25.8,"24.0, 27.7","Percentage of any type of cancer for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind.,2019
Any type of cancer,Medicare only (no Advantage),20.4,"17.7, 23.2","Percentage of any type of cancer for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind.,2019
Any type of cancer,Other coverage,28.7,"24.9, 32.7","Percentage of any type of cancer for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind.,2019
Any type of cancer,Uninsured,999,,"Percentage of any type of cancer for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind.,2019
Any type of cancer,Employed,5.4,"5.1,  5.8","Percentage of any type of cancer for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind.,2019
Any type of cancer,Not employed,17,"16.2, 17.8","Percentage of any type of cancer for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind.,2019
Any type of cancer,Full-time,5,"4.7,  5.4","Percentage of any type of cancer for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind.,2019
Any type of cancer,Part-time,7,"6.2,  8.0","Percentage of any type of cancer for adults aged 18 and over (95% confidence intervals), United States",Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind.,2019
